id,name,address,location,area,price,tenure_of_stay,is_vacant,priority,image_url
27,William Taylor,8104 Park Ave Unit 3,"Seattle, WA",1583,160192.68,6 months,False,Featured,https://picsum.photos/seed/house27/400/300
28,Jennifer White,7339 Hillcrest Dr,"Los Angeles, CA",758,241800.57,6 months,False,Low,https://picsum.photos/seed/house28/400/300
29,Barbara Jackson,9152 Elm St,"Springfield, IL",1943,587538.28,1 month,False,Low,https://picsum.photos/seed/house29/400/300
30,Linda Perez,1784 Highland Dr Unit 14,"Nashville, TN",1083,327803.26,6 months,True,High,https://picsum.photos/seed/house30/400/300
31,James Garcia,5542 Lake St,"Columbus, OH",892,154536.75,Month-to-month,True,Low,https://picsum.photos/seed/house31/400/300
32,Sandra Anderson,5828 Main St,"Boston, MA",1241,225996.21,3 months,False,Low,https://picsum.photos/seed/house32/400/300
33,Thomas Gonzalez,8885 Broadway Apt 2,"San Diego, CA",2828,880900.15,3 months,False,Medium,https://picsum.photos/seed/house33/400/300
34,Lisa Hernandez,7249 2nd St Unit 13,"New York, NY",1493,153333.04,Lease (12 months),False,Medium,https://picsum.photos/seed/house34/400/300
35,Lisa White,3328 Highland Dr Unit 3,"Salt Lake City, UT",1802,428720.74,3 months,False,High,https://picsum.photos/seed/house35/400/300
36,Thomas Martinez,6791 Broadway Unit 10,"San Francisco, CA",1235,244385.05,6 months,False,Medium,https://picsum.photos/seed/house36/400/300
37,Richard Moore,106 Main St Apt 19,"Columbus, OH",2825,649873.34,Month-to-month,False,Medium,https://picsum.photos/seed/house37/400/300
38,Thomas Thomas,2880 Pine Rd Unit 17,"Tucson, AZ",2986,510309.06,1 year,False,Low,https://picsum.photos/seed/house38/400/300
39,Betty Miller,2514 Maple St Apt 3,"Phoenix, AZ",748,158392.54,1 year,False,Medium,https://picsum.photos/seed/house39/400/300
40,Jessica Gonzalez,4097 Elm St Apt 1,"Buffalo, NY",1170,330604.2,Month-to-month,True,Medium,https://picsum.photos/seed/house40/400/300
41,Sandra Brown,7578 Elm St Unit 17,"Phoenix, AZ",1749,552410.95,Lease (12 months),False,High,https://picsum.photos/seed/house41/400/300
42,Sarah Anderson,2707 5th Ave,"Detroit, MI",3061,481279.01,Month-to-month,False,Low,https://picsum.photos/seed/house42/400/300
43,Joseph Williams,4781 Sunset Blvd Apt 18,"Las Vegas, NV",2662,286931.09,5 years,False,Low,https://picsum.photos/seed/house43/400/300
44,Michael Williams,6897 Lake St Apt 22,"Seattle, WA",705,100391.07,1 month,False,Low,https://picsum.photos/seed/house44/400/300
45,James Lopez,4992 River Rd Unit 18,"Nashville, TN",2686,748838.79,Month-to-month,True,Low,https://picsum.photos/seed/house45/400/300
46,Jessica Smith,6471 Broadway Apt 26,"Salt Lake City, UT",972,312412.68,5 years,False,Medium,https://picsum.photos/seed/house46/400/300
47,James Williams,7122 Elm St,"Chicago, IL",2002,335006.8,3 years,False,Low,https://picsum.photos/seed/house47/400/300
48,Mark Wilson,4233 Pine Rd Unit 1,"Atlanta, GA",663,214145.15,3 months,False,Low,https://picsum.photos/seed/house48/400/300
49,James Davis,3366 Maple St,"San Francisco, CA",2389,589136.94,1 year,False,Medium,https://picsum.photos/seed/house49/400/300
50,Anthony Lopez,2849 Cedar Blvd,"Savannah, GA",555,175038.38,5 years,False,High,https://picsum.photos/seed/house50/400/300
51,Michael Williams,9800 Sunset Blvd Unit 10,"Phoenix, AZ",945,264428.64,1 month,False,Medium,https://picsum.photos/seed/house51/400/300
52,Nancy Lopez,1229 2nd St Apt 22,"Detroit, MI",2457,294986.82,Month-to-month,False,Low,https://picsum.photos/seed/house52/400/300
53,Jennifer White,8648 Park Ave Apt 40,"Spokane, WA",2234,632188.44,3 years,True,High,https://picsum.photos/seed/house53/400/300
54,Robert Rodriguez,7485 Sunset Blvd Unit 19,"Boston, MA",2002,339963.32,3 years,True,Medium,https://picsum.photos/seed/house54/400/300
55,Barbara Rodriguez,5676 Park Ave Unit 9,"Austin, TX",2566,787179.83,5 years,False,Medium,https://picsum.photos/seed/house55/400/300
56,Linda Thompson,7900 5th Ave,"Springfield, IL",1357,248213.74,3 years,False,Medium,https://picsum.photos/seed/house56/400/300
57,Barbara Wilson,9117 Broadway Apt 23,"Springfield, IL",1479,220957.81,3 years,True,Medium,https://picsum.photos/seed/house57/400/300
58,Anthony Thompson,3133 Lincoln Dr Apt 14,"Nashville, TN",2864,906563.32,2 years,True,High,https://picsum.photos/seed/house58/400/300
59,Elizabeth Davis,6012 Washington Ave Unit 1,"Atlanta, GA",968,162678.57,Lease (12 months),False,Medium,https://picsum.photos/seed/house59/400/300
60,John Lee,8142 Cedar Blvd Apt 1,"Denver, CO",2410,459739.13,1 month,False,High,https://picsum.photos/seed/house60/400/300
61,Jessica Brown,1170 River Rd Unit 3,"Tucson, AZ",669,94779.08,2 years,True,Featured,https://picsum.photos/seed/house61/400/300
62,Patricia Moore,6918 Sunset Blvd Apt 34,"Salt Lake City, UT",2263,365209.83,5 years,False,Medium,https://picsum.photos/seed/house62/400/300
63,Mary Martin,1725 Lincoln Dr Unit 9,"Houston, TX",1093,164709.55,6 months,True,Medium,https://picsum.photos/seed/house63/400/300
64,Matthew Martin,7799 Main St Apt 3,"Portland, OR",1608,408793.55,1 year,False,High,https://picsum.photos/seed/house64/400/300
65,Daniel Jackson,3341 Lake St,"Tucson, AZ",1060,328403.33,3 months,True,Low,https://picsum.photos/seed/house65/400/300
66,Elizabeth Martin,9425 Main St Apt 29,"Portland, OR",1695,439194.7,Lease (12 months),False,Medium,https://picsum.photos/seed/house66/400/300
67,Robert Martin,753 Lake St Apt 21,"Austin, TX",824,126031.72,1 month,False,High,https://picsum.photos/seed/house67/400/300
68,Charles Johnson,2970 5th Ave Apt 34,"San Diego, CA",2847,552936.75,3 months,False,Low,https://picsum.photos/seed/house68/400/300
69,David Hernandez,1813 Washington Ave Unit 14,"Denver, CO",1630,398111.61,Lease (12 months),True,Medium,https://picsum.photos/seed/house69/400/300
70,David Rodriguez,5396 Cedar Blvd,"Boston, MA",2672,520476.26,Lease (12 months),False,Medium,https://picsum.photos/seed/house70/400/300
71,Jessica Lee,7342 Oak Ave Unit 9,"San Francisco, CA",1629,319723.96,3 months,True,Featured,https://picsum.photos/seed/house71/400/300
72,Karen Davis,2694 Main St Unit 1,"Seattle, WA",831,129565.15,3 months,False,High,https://picsum.photos/seed/house72/400/300
73,Daniel Jones,8265 Main St Apt 33,"Detroit, MI",2426,765171.52,Lease (12 months),True,Low,https://picsum.photos/seed/house73/400/300
74,Sandra Martin,8427 Elm St Apt 5,"Miami, FL",2529,378067.63,2 years,False,Medium,https://picsum.photos/seed/house74/400/300
75,Nancy Thomas,2534 Church St Apt 35,"Miami, FL",2710,721942.74,3 years,True,Featured,https://picsum.photos/seed/house75/400/300
76,Linda Jackson,6374 Sunset Blvd Apt 27,"Nashville, TN",2387,613235.34,5 years,False,High,https://picsum.photos/seed/house76/400/300
77,Daniel Jones,8215 Oak Ave Unit 17,"Miami, FL",861,254412.04,Lease (12 months),False,Low,https://picsum.photos/seed/house77/400/300
78,John Wilson,2629 Pine Rd Apt 31,"Phoenix, AZ",2078,509638.24,Lease (12 months),False,Featured,https://picsum.photos/seed/house78/400/300
79,Daniel Thompson,8094 Hillcrest Dr,"Buffalo, NY",3035,751642.7,1 year,False,Low,https://picsum.photos/seed/house79/400/300
80,Patricia Lee,1746 Church St,"Dallas, TX",1778,486462.26,3 years,False,Low,https://picsum.photos/seed/house80/400/300
81,Thomas Wilson,9372 Washington Ave,"Phoenix, AZ",2016,468603.9,6 months,True,Medium,https://picsum.photos/seed/house81/400/300
82,William Anderson,4283 Maple St Unit 10,"Atlanta, GA",1097,131270.81,2 years,False,Featured,https://picsum.photos/seed/house82/400/300
83,Matthew Rodriguez,7584 Main St Apt 13,"Los Angeles, CA",1421,254710.48,2 years,False,Low,https://picsum.photos/seed/house83/400/300
84,Mark Perez,6584 Park Ave Unit 19,"Charlotte, NC",650,204540.68,2 years,True,Medium,https://picsum.photos/seed/house84/400/300
85,Barbara Davis,3215 Park Ave Unit 4,"Tucson, AZ",611,102220.8,3 years,False,Low,https://picsum.photos/seed/house85/400/300
86,Sandra Martinez,5452 Lake St,"Columbus, OH",2659,777644.16,Lease (12 months),False,High,https://picsum.photos/seed/house86/400/300
87,William Thomas,4935 Broadway,"San Francisco, CA",1374,404965.97,5 years,False,Low,https://picsum.photos/seed/house87/400/300
88,Betty Gonzalez,328 Park Ave Apt 35,"Orlando, FL",1523,353283.9,3 years,True,Medium,https://picsum.photos/seed/house88/400/300
89,Jessica Smith,9298 Broadway Unit 8,"Houston, TX",3052,866181.26,2 years,False,Medium,https://picsum.photos/seed/house89/400/300
90,John Johnson,709 Main St,"Buffalo, NY",2651,325381.32,Lease (12 months),False,Medium,https://picsum.photos/seed/house90/400/300
91,Lisa Jones,6897 Cedar Blvd Apt 32,"Chicago, IL",584,144623.89,Month-to-month,True,High,https://picsum.photos/seed/house91/400/300
92,Patricia Perez,6118 Hillcrest Dr Apt 23,"Chicago, IL",1227,397647.88,Month-to-month,True,Medium,https://picsum.photos/seed/house92/400/300
93,Daniel Lee,9883 Maple St,"San Francisco, CA",2762,390535.25,Lease (12 months),True,Medium,https://picsum.photos/seed/house93/400/300
94,Mark Davis,5483 Elm St Apt 39,"Minneapolis, MN",1042,336255.1,6 months,True,Medium,https://picsum.photos/seed/house94/400/300
95,James Jones,343 Highland Dr Apt 16,"Austin, TX",1163,173188.33,5 years,False,Low,https://picsum.photos/seed/house95/400/300
96,Robert Thomas,7444 Highland Dr,"Spokane, WA",2513,361525.68,Lease (12 months),False,Medium,https://picsum.photos/seed/house96/400/300
97,James Johnson,7947 River Rd Apt 28,"Portland, OR",2266,238857.7,6 months,True,Low,https://picsum.photos/seed/house97/400/300
98,Karen Lee,9690 Hillcrest Dr Unit 13,"Boulder, CO",1657,329154.02,3 months,False,Low,https://picsum.photos/seed/house98/400/300
99,Daniel Lee,9133 Lincoln Dr,"Seattle, WA",1838,518177.81,3 months,False,Medium,https://picsum.photos/seed/house99/400/300
100,Nancy Rodriguez,6232 Elm St,"Detroit, MI",799,85974.18,3 years,True,Medium,https://picsum.photos/seed/house100/400/300
101,Charles Moore,9302 Broadway Apt 8,"Minneapolis, MN",3175,976468.82,1 month,False,Medium,https://picsum.photos/seed/house101/400/300
102,Barbara Brown,9568 2nd St Unit 5,"Denver, CO",1368,391708.84,Lease (12 months),False,Low,https://picsum.photos/seed/house102/400/300
103,William Jackson,3805 Lake St Unit 20,"Boston, MA",3082,679210.44,2 years,True,Low,https://picsum.photos/seed/house103/400/300
104,Matthew Martinez,5667 Highland Dr,"Savannah, GA",3142,570248.31,1 month,True,Medium,https://picsum.photos/seed/house104/400/300
105,Michael Gonzalez,6978 Church St Apt 22,"Springfield, IL",1778,484051.03,3 months,True,Low,https://picsum.photos/seed/house105/400/300
106,Anthony Martin,915 Pine Rd Unit 15,"Seattle, WA",2439,563345.1,1 year,False,Low,https://picsum.photos/seed/house106/400/300
107,Susan Brown,4740 5th Ave,"Buffalo, NY",2068,650457.37,1 year,False,High,https://picsum.photos/seed/house107/400/300
108,Anthony Jones,4286 Main St,"Denver, CO",2213,291201.05,1 year,False,Medium,https://picsum.photos/seed/house108/400/300
109,Nancy Lopez,1280 River Rd,"Spokane, WA",768,227918.3,5 years,False,Medium,https://picsum.photos/seed/house109/400/300
110,Elizabeth Brown,6736 Maple St Unit 6,"Spokane, WA",1932,224931.08,1 year,False,Medium,https://picsum.photos/seed/house110/400/300
111,Thomas Williams,6584 Main St Apt 22,"Charlotte, NC",1138,130076.03,Lease (12 months),False,Low,https://picsum.photos/seed/house111/400/300
112,Anthony Lopez,5852 Elm St,"Chicago, IL",1258,161477.6,3 months,True,Featured,https://picsum.photos/seed/house112/400/300
113,Daniel Thomas,7701 Church St Apt 37,"Minneapolis, MN",3019,495022.62,Month-to-month,False,Medium,https://picsum.photos/seed/house113/400/300
114,Betty Rodriguez,9789 Oak Ave,"Springfield, IL",2341,450151.78,2 years,True,Medium,https://picsum.photos/seed/house114/400/300
115,Margaret Williams,9833 2nd St Unit 15,"Atlanta, GA",618,130741.47,1 year,False,Medium,https://picsum.photos/seed/house115/400/300
116,Thomas Jones,1113 Church St Unit 11,"Houston, TX",2516,596123.67,Month-to-month,False,Medium,https://picsum.photos/seed/house116/400/300
117,Karen Garcia,6062 Highland Dr Apt 19,"Charlotte, NC",1835,447726.09,3 years,True,Low,https://picsum.photos/seed/house117/400/300
118,Sarah Perez,6433 Main St,"Miami, FL",783,173244.13,3 years,False,Featured,https://picsum.photos/seed/house118/400/300
119,Matthew Perez,6521 Elm St Apt 39,"Atlanta, GA",1992,475672.4,6 months,False,Medium,https://picsum.photos/seed/house119/400/300
120,Lisa Perez,8724 Pine Rd Apt 28,"Austin, TX",1935,325634.23,3 years,False,Low,https://picsum.photos/seed/house120/400/300
121,John Jones,1364 Main St Unit 17,"Detroit, MI",2606,258900.38,6 months,False,Low,https://picsum.photos/seed/house121/400/300
122,Jennifer Garcia,2812 Church St Apt 3,"Boston, MA",1422,452305.56,Month-to-month,True,Medium,https://picsum.photos/seed/house122/400/300
123,Elizabeth Thomas,3278 Highland Dr Apt 37,"Charlotte, NC",1604,436483.65,5 years,True,High,https://picsum.photos/seed/house123/400/300
124,Betty Martin,2367 Park Ave Apt 4,"Atlanta, GA",870,225969.52,3 months,False,Low,https://picsum.photos/seed/house124/400/300
125,Jennifer Rodriguez,7461 2nd St,"Salt Lake City, UT",1359,390279.53,1 month,False,Low,https://picsum.photos/seed/house125/400/300
126,Thomas Lopez,3962 River Rd,"Austin, TX",1755,545461.4,3 years,True,Low,https://picsum.photos/seed/house126/400/300
127,Elizabeth Thomas,2373 5th Ave,"Las Vegas, NV",774,72356.17,6 months,False,High,https://picsum.photos/seed/house127/400/300
128,Karen Taylor,7034 Cedar Blvd Apt 19,"Los Angeles, CA",645,101201.53,Month-to-month,True,Low,https://picsum.photos/seed/house128/400/300
129,Donald Thomas,9876 Hillcrest Dr Unit 17,"Buffalo, NY",1038,157989.56,3 years,True,Medium,https://picsum.photos/seed/house129/400/300
130,Jennifer Perez,1502 2nd St Unit 3,"Atlanta, GA",2528,689924.04,1 month,False,High,https://picsum.photos/seed/house130/400/300
131,Mary Lee,6438 Highland Dr Apt 17,"Columbus, OH",726,132573.94,3 months,False,Medium,https://picsum.photos/seed/house131/400/300
132,David Jones,826 Highland Dr Unit 11,"San Diego, CA",2353,747150.16,6 months,True,Low,https://picsum.photos/seed/house132/400/300
133,Anthony Anderson,705 Main St,"Las Vegas, NV",621,102168.07,5 years,False,Medium,https://picsum.photos/seed/house133/400/300
134,Mary Lee,3231 Main St Unit 2,"Miami, FL",1569,188489.68,5 years,False,Medium,https://picsum.photos/seed/house134/400/300
135,Richard Hernandez,3160 5th Ave Unit 12,"Chicago, IL",788,199274.76,6 months,False,Low,https://picsum.photos/seed/house135/400/300
136,Patricia Williams,5472 Main St Unit 15,"Portland, OR",2195,285558.78,Month-to-month,True,Medium,https://picsum.photos/seed/house136/400/300
137,Sandra Lopez,7226 Park Ave Unit 3,"Tucson, AZ",2113,377757.5,6 months,True,Low,https://picsum.photos/seed/house137/400/300
138,Karen Perez,7279 Oak Ave,"Charlotte, NC",3092,541455.24,1 month,False,Low,https://picsum.photos/seed/house138/400/300
139,Joseph Lopez,6195 Church St,"Boulder, CO",1953,362554.13,1 year,True,Low,https://picsum.photos/seed/house139/400/300
140,Jennifer Thomas,8582 River Rd Apt 36,"Charlotte, NC",1516,381215.31,2 years,False,High,https://picsum.photos/seed/house140/400/300
141,Jessica Miller,2109 Elm St,"Las Vegas, NV",2273,737139.08,3 years,False,Low,https://picsum.photos/seed/house141/400/300
142,Robert Moore,8982 Main St Unit 6,"Portland, OR",3062,400415.18,1 year,True,Featured,https://picsum.photos/seed/house142/400/300
143,Betty Jones,3978 5th Ave Unit 12,"Savannah, GA",1961,401964.29,6 months,False,High,https://picsum.photos/seed/house143/400/300
144,Robert Martinez,6623 5th Ave Apt 34,"Detroit, MI",2804,314370.9,3 months,False,Medium,https://picsum.photos/seed/house144/400/300
145,Thomas Lopez,2202 Hillcrest Dr,"Seattle, WA",2509,747462.99,3 months,False,Low,https://picsum.photos/seed/house145/400/300
146,Jennifer Garcia,5386 Sunset Blvd Apt 23,"Minneapolis, MN",773,121826.26,Lease (12 months),False,Low,https://picsum.photos/seed/house146/400/300
147,Elizabeth Martin,8840 Pine Rd Unit 6,"Savannah, GA",1081,147345.19,3 years,False,Low,https://picsum.photos/seed/house147/400/300
148,Margaret Smith,1430 Oak Ave Unit 9,"New York, NY",2793,526761.01,Month-to-month,False,Medium,https://picsum.photos/seed/house148/400/300
149,Daniel Martinez,8012 Sunset Blvd Apt 26,"Houston, TX",695,91131.59,Month-to-month,True,Low,https://picsum.photos/seed/house149/400/300
150,John Hernandez,5331 Highland Dr Apt 26,"Boulder, CO",2750,314496.1,3 months,False,Medium,https://picsum.photos/seed/house150/400/300
151,John Brown,929 Main St Apt 25,"Buffalo, NY",1104,319593.33,3 years,True,High,https://picsum.photos/seed/house151/400/300
152,Jessica Taylor,7748 5th Ave,"Houston, TX",2060,439213.32,1 year,False,Low,https://picsum.photos/seed/house152/400/300
153,Mary Martinez,8208 5th Ave,"Minneapolis, MN",890,180960.03,3 years,False,Low,https://picsum.photos/seed/house153/400/300
154,Richard Johnson,9443 Hillcrest Dr Unit 12,"Springfield, IL",751,138331.12,Lease (12 months),False,High,https://picsum.photos/seed/house154/400/300
155,Karen Perez,2046 Elm St Apt 7,"Columbus, OH",1838,403549.96,6 months,True,Medium,https://picsum.photos/seed/house155/400/300
156,Richard Taylor,759 Oak Ave Unit 5,"Miami, FL",2390,498556.0,Lease (12 months),True,Low,https://picsum.photos/seed/house156/400/300
157,Karen Hernandez,2762 River Rd Unit 10,"Miami, FL",2527,714486.87,2 years,False,High,https://picsum.photos/seed/house157/400/300
158,Barbara Hernandez,1895 Lake St Unit 10,"Minneapolis, MN",3027,295473.82,1 year,False,Low,https://picsum.photos/seed/house158/400/300
159,Jessica Garcia,8689 River Rd,"Savannah, GA",900,124313.13,5 years,True,Medium,https://picsum.photos/seed/house159/400/300
160,Michael Wilson,8321 5th Ave Unit 5,"New York, NY",2747,460844.08,Lease (12 months),False,Low,https://picsum.photos/seed/house160/400/300
161,Jennifer Anderson,8834 Broadway Unit 12,"Charlotte, NC",3084,847894.06,Month-to-month,True,Featured,https://picsum.photos/seed/house161/400/300
162,William Moore,4990 Sunset Blvd Unit 10,"New York, NY",2452,401454.36,2 years,False,Low,https://picsum.photos/seed/house162/400/300
163,Nancy Moore,6320 River Rd Apt 23,"Dallas, TX",1628,500808.26,Month-to-month,False,Low,https://picsum.photos/seed/house163/400/300
164,Jessica Miller,3410 Hillcrest Dr Unit 18,"Chicago, IL",1012,126321.4,1 year,True,Low,https://picsum.photos/seed/house164/400/300
165,Donald Taylor,3797 Sunset Blvd Apt 4,"Miami, FL",2384,280106.1,1 month,False,Featured,https://picsum.photos/seed/house165/400/300
166,Jennifer Wilson,7893 5th Ave Apt 13,"Springfield, IL",3095,331039.39,1 year,False,Medium,https://picsum.photos/seed/house166/400/300
167,Margaret Johnson,2968 Lake St Apt 12,"Columbus, OH",2479,339319.37,2 years,True,Low,https://picsum.photos/seed/house167/400/300
168,Charles Martin,1858 Broadway Unit 15,"Atlanta, GA",2597,542520.04,Lease (12 months),False,Low,https://picsum.photos/seed/house168/400/300
169,Betty Brown,5517 Washington Ave Unit 9,"San Diego, CA",507,142342.37,1 year,True,Medium,https://picsum.photos/seed/house169/400/300
170,Daniel Gonzalez,7107 2nd St Apt 21,"Boston, MA",840,109111.97,3 years,True,Low,https://picsum.photos/seed/house170/400/300
171,Richard Davis,7419 Park Ave Unit 10,"Nashville, TN",2796,267067.76,1 year,True,Medium,https://picsum.photos/seed/house171/400/300
172,Joseph Martinez,2716 River Rd Unit 10,"Los Angeles, CA",3066,922877.58,1 year,True,Featured,https://picsum.photos/seed/house172/400/300
173,Jessica Jones,7554 Highland Dr Apt 27,"Charlotte, NC",2651,739102.48,1 year,False,High,https://picsum.photos/seed/house173/400/300
174,Margaret Williams,8709 Church St,"Salt Lake City, UT",2760,331205.62,Lease (12 months),True,Medium,https://picsum.photos/seed/house174/400/300
175,John Garcia,5475 2nd St Unit 4,"New York, NY",2838,587475.35,Month-to-month,True,Medium,https://picsum.photos/seed/house175/400/300
176,Thomas Wilson,7584 Oak Ave Unit 15,"Columbus, OH",1712,441797.74,1 month,False,Low,https://picsum.photos/seed/house176/400/300
177,Robert Johnson,7041 Highland Dr,"Salt Lake City, UT",732,236347.49,2 years,False,Low,https://picsum.photos/seed/house177/400/300
178,John Lee,6987 Highland Dr Apt 25,"Tampa, FL",778,200423.62,Lease (12 months),True,Medium,https://picsum.photos/seed/house178/400/300
179,Barbara Brown,3024 Hillcrest Dr,"Nashville, TN",1362,394219.81,2 years,False,Medium,https://picsum.photos/seed/house179/400/300
180,Sarah Wilson,8815 River Rd Apt 15,"Orlando, FL",1085,180186.6,3 months,True,High,https://picsum.photos/seed/house180/400/300
181,Susan Martin,356 Sunset Blvd,"Phoenix, AZ",587,121544.48,1 month,True,Medium,https://picsum.photos/seed/house181/400/300
182,Richard Anderson,3939 Hillcrest Dr,"Boulder, CO",1634,248390.52,3 years,False,Medium,https://picsum.photos/seed/house182/400/300
183,Nancy Hernandez,3981 Main St,"Seattle, WA",1680,263653.84,6 months,False,Medium,https://picsum.photos/seed/house183/400/300
184,Sarah Thomas,868 Highland Dr Apt 25,"Portland, OR",2155,397301.43,6 months,False,Medium,https://picsum.photos/seed/house184/400/300
185,Margaret Davis,5027 Elm St Unit 2,"Seattle, WA",2156,468069.21,1 year,False,Low,https://picsum.photos/seed/house185/400/300
186,Daniel Williams,7469 Highland Dr Unit 18,"Detroit, MI",1230,127823.07,1 month,True,Low,https://picsum.photos/seed/house186/400/300
187,Anthony Jackson,9256 Lincoln Dr Apt 31,"Springfield, IL",512,69822.96,3 months,False,Featured,https://picsum.photos/seed/house187/400/300
188,Jessica Davis,3450 River Rd Apt 16,"Charlotte, NC",1609,291354.49,3 years,False,Low,https://picsum.photos/seed/house188/400/300
189,Thomas Thomas,7735 Cedar Blvd,"Orlando, FL",1731,326838.51,1 year,False,Low,https://picsum.photos/seed/house189/400/300
190,William Moore,9668 Lake St,"Miami, FL",1392,258556.76,Month-to-month,False,Medium,https://picsum.photos/seed/house190/400/300
191,Nancy Hernandez,4316 5th Ave,"Nashville, TN",1892,253343.94,Month-to-month,True,High,https://picsum.photos/seed/house191/400/300
192,Sarah Lee,1062 2nd St Unit 3,"Dallas, TX",476,99839.59,1 year,True,Medium,https://picsum.photos/seed/house192/400/300
193,James Miller,8385 Church St Unit 2,"Tucson, AZ",3181,982817.01,Month-to-month,True,Low,https://picsum.photos/seed/house193/400/300
194,Sarah Wilson,294 Maple St Unit 9,"Springfield, IL",520,115822.22,5 years,True,Low,https://picsum.photos/seed/house194/400/300
195,Patricia Taylor,2539 Sunset Blvd Unit 20,"Chicago, IL",1901,290910.32,3 years,False,Medium,https://picsum.photos/seed/house195/400/300
196,Linda Thompson,3800 Main St,"Tampa, FL",2003,358548.35,1 month,False,Low,https://picsum.photos/seed/house196/400/300
197,Jessica Wilson,5527 Cedar Blvd,"New York, NY",2771,548371.84,3 months,False,High,https://picsum.photos/seed/house197/400/300
198,Donald Moore,9332 Oak Ave,"New York, NY",2854,362924.04,5 years,True,Low,https://picsum.photos/seed/house198/400/300
199,Charles Davis,9384 River Rd Apt 35,"Charlotte, NC",1023,286852.51,3 months,False,Medium,https://picsum.photos/seed/house199/400/300
200,Barbara Johnson,1700 Lake St Apt 15,"Phoenix, AZ",2964,920640.13,3 years,True,Medium,https://picsum.photos/seed/house200/400/300
201,Betty Anderson,8138 Sunset Blvd Apt 23,"Seattle, WA",1210,306272.52,3 months,False,Low,https://picsum.photos/seed/house201/400/300
202,Linda Thompson,1304 Pine Rd Apt 18,"Portland, OR",3046,385015.74,3 years,True,Low,https://picsum.photos/seed/house202/400/300
